"ARZone","Site","Year","Studytype","StudyCode","Sno","FarmerID","Vilage","Sub.village","Maize.variety","Treat","Fertilizer.type","MaizeYld","MzYld_RatioMax","MzYld_Ratio5.","PlantDEnsity","ISFM_Comps","ISFM_comment","Fertilizer","ImprVar","Intercrop","SWC","Man_Appl","FreqMan","DistHome","LandscapePosition","M_Gender","Lat","Long","GrossMargins","Grain.N...","Grain.P...","DataOwner","ISFM_i"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT001","Kitete                                     ","Yangeyange                        ","NATA105","FP","Control",0.18,0.0158870255957635,0.0263157894736842,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT002","Kitete                                     ","Madukani                          ","STAHA","FP","Control",0.57,0.0503089143865843,0.0833333333333333,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT002","Kitete                                     ","Yangeyange                        ","NATA104","FP","Control",0.59615,0.0526169461606355,0.087156432748538,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT003","Kitete                                     ","Madukani                          ","TANH600","FP","Control",3.342,0.294969108561342,0.48859649122807,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT004","Kitete                                     ","Madukani                          ","TANH600","FP","Control",1.15,0.101500441306267,0.16812865497076,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT005","Kitete                                     ","Yangeyange                        ","STUKA","FP","Control",1.7765,0.156796116504854,0.259722222222222,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT005","Kitete                                     ","Madukani                          ","STAHA","FP","Control",1.6625,0.146734333627538,0.243055555555556,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT006","Kitete                                     ","Madukani                          ","NATA104","FP","Control",2.25,0.198587819947043,0.328947368421053,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT006","Kitete                                     ","Madukani                          ","TANH600","FP","Control",3.327,0.293645189761695,0.48640350877193,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT007","Kitete                                     ","Yangeyange                        ","K6Q","FP","Control",1.115,0.0984112974404237,0.163011695906433,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
